YWHAH	14-3-3 protein eta
FARSB	Phenylalanine--tRNA ligase beta subunit
FARS2	Phenylalanine--tRNA ligase, mitochondrial
SLC25A3	Phosphate carrier protein, mitochondrial
SGMS1	Phosphatidylcholine:ceramide cholinephosphotransferase 1
SGMS2	Phosphatidylcholine:ceramide cholinephosphotransferase 2
PEMT	Phosphatidylethanolamine N-methyltransferase
PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
PIP5K1A	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha
PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma
PICALM	Phosphatidylinositol-binding clathrin assembly protein
PIGW	Phosphatidylinositol-glycan biosynthesis class W protein
PIGX	Phosphatidylinositol-glycan biosynthesis class X protein
PITPNB	Phosphatidylinositol transfer protein beta isoform
PTDSS1	Phosphatidylserine synthase 1
PGM1	Phosphoglucomutase-1
PGM2	Phosphoglucomutase-2
PIK3R5	Phosphoinositide 3-kinase regulatory subunit 5
PLCG2	Phosphoinositide phospholipase C
PLCH2	Phosphoinositide phospholipase C
DDHD1	Phospholipase DDHD1
PLSCR1	Phospholipid scramblase 1
ATP10A	Phospholipid-transporting ATPase
PMM2	Phosphomannomutase
PMVK	Phosphomevalonate kinase
PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1
PIEZO1	Piezo-type mechanosensitive ion channel component 1
ATP2B4	Plasma membrane calcium-transporting ATPase 4
PLGRKT	Plasminogen receptor (KT)
PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit alpha
PAFAH1B2	Platelet-activating factor acetylhydrolase IB subunit beta
PDGFA	Platelet-derived growth factor subunit A
PLEKHA7	Pleckstrin homology domain-containing family A member 7
PLEKHB2	Pleckstrin homology domain-containing family B member 2
PLEKHG1	Pleckstrin homology domain-containing family G member 1
PLEKHG3	Pleckstrin homology domain-containing family G member 3
PLEKHN1	Pleckstrin homology domain-containing family N member 1
PHLDA1	Pleckstrin homology-like domain family A member 1
PHLDB1	Pleckstrin homology-like domain family B member 1
PLEC	Plectin
PLEKHA5	PLEKHA5 protein
PLXNA1	Plexin-A1
PLXNB2	Plexin-B2
PLXNC1	Plexin-C1
POC1B	POC1 centriolar protein homolog B
PABPN1	Polyadenylate-binding protein 2
PARP11	Poly [ADP-ribose] polymerase
PARP14	Poly [ADP-ribose] polymerase 14
PARP4	Poly [ADP-ribose] polymerase 4
PARP9	Poly (ADP-ribose) polymerase family, member 9, isoform CRA b
MTPAP	Poly(A) RNA polymerase, mitochondrial
PCGF1	Polycomb group RING finger protein 1
PCGF3	Polycomb group RING finger protein 3
EED	Polycomb protein EED
SUZ12	Polycomb protein SUZ12
PQBP1	Polyglutamine-binding protein 1
PHC2	Polyhomeotic-like protein 2
GALNT10	Polypeptide N-acetylgalactosaminyltransferase 10
GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2
GALNT4	Polypeptide N-acetylgalactosaminyltransferase 4
SRD5A3	Polyprenol reductase
PTBP1	Polypyrimidine tract-binding protein 1
PMS2P5	Postmeiotic segregation increased 2-like protein 5
KCNC4	Potassium voltage-gated channel subfamily C member 4
KCNH4	Potassium voltage-gated channel subfamily H member 4
POU2AF1	POU domain class 2-associating factor 1
POU2F1	POU domain protein
POU2F2	POU domain protein
PQLC1	PQ-loop repeat-containing protein 1
PBX2	Pre-B-cell leukemia transcription factor 2
LMNA	Prelamin-A/C
PRPF40A	Pre-mRNA-processing factor 40 homolog A
TSR1	Pre-rRNA-processing protein TSR1 homolog
NOP2	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase
NSUN5	Probable 28S rRNA (cytosine-C(5))-methyltransferase
NUDT15	Probable 8-oxo-dGTP diphosphatase NUDT15
NPEPL1	Probable aminopeptidase NPEPL1
DDX17	Probable ATP-dependent RNA helicase DDX17
DDX28	Probable ATP-dependent RNA helicase DDX28
DDX43	Probable ATP-dependent RNA helicase DDX43
DDX46	Probable ATP-dependent RNA helicase DDX46
DDX5	Probable ATP-dependent RNA helicase DDX5
DDX52	Probable ATP-dependent RNA helicase DDX52
DDX56	Probable ATP-dependent RNA helicase DDX56
DDX58	Probable ATP-dependent RNA helicase DDX58
DDX59	Probable ATP-dependent RNA helicase DDX59
DDX60L	Probable ATP-dependent RNA helicase DDX60-like
TRIM8	Probable E3 ubiquitin-protein ligase TRIM8
GPR132	Probable G-protein coupled receptor 132
GPR150	Probable G-protein coupled receptor 150
GPR153	Probable G-protein coupled receptor 153
GPR171	Probable G-protein coupled receptor 171
MCF2L2	Probable guanine nucleotide exchange factor MCF2L2
HELZ	Probable helicase with zinc finger domain
ZDHHC11	Probable palmitoyltransferase ZDHHC11
ATP11A	Probable phospholipid-transporting ATPase IH
ATP10B	Probable phospholipid-transporting ATPase VB
ZC3H12C	Probable ribonuclease ZC3H12C
TRMT44	Probable tRNA (uracil-O(2)-)-methyltransferase
CTSH	Pro-cathepsin H
COLGALT1	Procollagen galactosyltransferase 1
CD274	Programmed cell death 1 ligand 1
PDCD1	Programmed cell death protein 1
PDCD5	Programmed cell death protein 5
ANKH	Progressive ankylosis protein homolog
PHB2	Prohibitin-2
PROK2	Prokineticin-2
PA2G4	Proliferation-associated protein 2G4
AKT1S1	Proline-rich AKT1 substrate 1
PRR19	Proline-rich protein 19
PRCC	Proline-rich protein PRCC
ZFC3H1	Proline/serine-rich coiled-coil 2, isoform CRA a
PSTPIP1	Proline-serine-threonine phosphatase-interacting protein 1
P4HA2	Prolyl 4-hydroxylase subunit alpha-2
PREP	Prolyl endopeptidase
PSMG3	Proteasome assembly chaperone 3
PSMA2	Proteasome subunit alpha type
PSMA6	Proteasome subunit alpha type
PSMA1	Proteasome subunit alpha type-1
PSMB7	Proteasome subunit beta type
PSMB3	Proteasome subunit beta type-3
AATF	Protein AATF
ABHD11	Protein ABHD11
ABHD16B	Protein ABHD16B
ADPRH	[Protein ADP-ribosylarginine] hydrolase
MLLT6	Protein AF-17
PRMT3	Protein arginine N-methyltransferase 3
AGO2	Protein argonaute-2
BICD2	Protein bicaudal D homolog 2
BTG1	Protein BTG1
BTG2	Protein BTG2
BTG3	Protein BTG3
C7orf55-LUC7L2	Protein C7orf55-LUC7L2
CIC	Protein capicua homolog
C16orf91	Protein CCSMST1
CDV3	Protein CDV3 homolog
ETS2	Protein C-ets-2
DBF4	Protein DBF4 homolog A
PDIA6	Protein disulfide-isomerase A6
TMX3	Protein disulfide-isomerase TMX3
DONSON	Protein downstream neighbor of Son
AHCTF1	Protein ELYS
EVA1C	Protein eva-1 homolog C
FAM107B	Protein FAM107B
FAM110B	Protein FAM110B
FAM111A	Protein FAM111A
FAM168A	Protein FAM168A
FAM171B	Protein FAM171B
FAM172A	Protein FAM172A
FAM210A	Protein FAM210A
FAM50B	Protein FAM50B
FAM57A	Protein FAM57A
FAM86C1	Protein FAM86C1
FAM98A	Protein FAM98A
NSMAF	Protein FAN
RPGRIP1L	Protein fantom
FEM1C	Protein fem-1 homolog C
FLII	Protein flightless-1 homolog
FOSB	Protein fosB
FRY	Protein furry homolog
GUCD1	Protein GUCD1
HOOK3	Protein Hook homolog 3
JAG1	Protein jagged-1
JARID2	Protein Jumonji
PRKCD	Protein kinase C delta type
DNAAF2	Protein kintoun
TMEM167A	Protein kish-A
LDOC1	Protein LDOC1
TMBIM1	Protein lifeguard 3
LTV1	Protein LTV1 homolog
METTL21B	Protein-lysine methyltransferase METTL21B
VCPKMT	Protein-lysine methyltransferase METTL21D
MB21D2	Protein MB21D2
MICAL1	Protein-methionine sulfoxide oxidase MICAL1
MICAL2	Protein-methionine sulfoxide oxidase MICAL2
NEDD1	Protein NEDD1
METTL21A	Protein N-lysine methyltransferase METTL21A
WDYHV1	Protein N-terminal glutamine amidohydrolase
POMT1	Protein O-mannosyl-transferase 1
ORAI2	Protein orai-2
ORAI3	Protein orai-3
PATL1	Protein PAT1 homolog 1
PBDC1	Protein PBDC1
PPM1A	Protein phosphatase 1A
PPM1D	Protein phosphatase 1D
PPM1G	Protein phosphatase 1G
PPP1R12A	Protein phosphatase 1 regulatory subunit 12A
PPP1R12C	Protein phosphatase 1 regulatory subunit 12C
PPP1R14B	Protein phosphatase 1 regulatory subunit 14B
PPP1R15A	Protein phosphatase 1 regulatory subunit 15A
PPP1R3D	Protein phosphatase 1 regulatory subunit 3D
PPME1	Protein phosphatase methylesterase 1
SSH1	Protein phosphatase Slingshot homolog 1
PTAR1	Protein prenyltransferase alpha subunit repeat-containing protein 1
PRRC2A	Protein PRRC2A
RCC2	Protein RCC2
PRC1	Protein regulator of cytokinesis 1
ROGDI	Protein rogdi homolog
PDCD11	Protein RRP5 homolog
S100A13	Protein S100-A13
S100A2	Protein S100-A2
S100A4	Protein S100-A4
S100A6	Protein S100-A6
SCAF11	Protein SCAF11
SEL1L	Protein sel-1 homolog 1
SERAC1	Protein SERAC1
SET	Protein SET
SPIRE1	Protein spire homolog 1
SPTY2D1	Protein SPT2 homolog
SBNO2	Protein strawberry notch homolog 2
STX16-NPEPL1	Protein STX16-NPEPL1
THEMIS	Protein THEMIS
TMED8	Protein TMED8
TMEM110-MUSTN1	Protein TMEM110-MUSTN1
TOB1	Protein Tob1
PTP4A3	Protein tyrosine phosphatase type IVA 3
UNC13D	Protein unc-13 homolog D
UNC45A	Protein unc-45 homolog A
UNC93B1	Protein unc-93 homolog B1
WNT4	Protein Wnt
WWC3	Protein WWC3
YIPF6	Protein YIPF
PCDH11Y	Protocadherin-11 Y-linked
PCDH12	Protocadherin-12
REL	Proto-oncogene c-Rel
VAV1	Proto-oncogene vav
ZFYVE27	Protrudin
PEAK1	Pseudopodium-enriched atypical kinase 1
PUS7	Pseudouridylate synthase 7 homolog
GPR65	Psychosine receptor
NPEPPS	Puromycin-sensitive aminopeptidase
ANXA2P2	Putative annexin A2-like protein
DHX33	Putative ATP-dependent RNA helicase DHX33
CROCCP3	Putative ciliary rootlet coiled-coil protein-like 2 protein
CBWD7	Putative COBW domain-containing protein 7
UQCRFS1P1	Putative cytochrome b-c1 complex subunit Rieske-like protein 1
GK5	Putative glycerol kinase 5
GNRHR2	Putative gonadotropin-releasing hormone II receptor
HLA-H	Putative HLA class I histocompatibility antigen, alpha chain H
PHTF1	Putative homeodomain transcription factor 1
PHTF2	Putative homeodomain transcription factor 2
NSUN3	Putative methyltransferase NSUN3
NSUN6	Putative methyltransferase NSUN6
POM121B	Putative nuclear envelope pore membrane protein POM 121B
PLEKHA8P1	Putative protein PLEKHA9
ZNF720	Putative protein ZNF720
RBM15B	Putative RNA-binding protein 15B
TSPY26P	Putative testis-specific Y-encoded-like protein 3
IBA57	Putative transferase CAF17, mitochondrial
PUS10	Putative tRNA pseudouridine synthase Pus10
C10orf128	Putative uncharacterized protein C10orf128
C8orf44	Putative uncharacterized protein C8orf44
KIF25-AS1	Putative uncharacterized protein KIF25-AS1
MLLT4-AS1	Putative uncharacterized protein MLLT4-AS1
RUSC1-AS1	Putative uncharacterized protein RUSC1-AS1
PWWP2A	PWWP domain-containing protein 2A
PXDC1	PX domain-containing protein 1
PDXDC1	Pyridoxal-dependent decarboxylase domain-containing protein 1
PDXP	Pyridoxal phosphate phosphatase
PDP2	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial
PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial
PKM	Pyruvate kinase
RAB37	RAB37, member RAS oncogene family, isoform CRA e
RAB3IP	Rab-3A-interacting protein
RAB3GAP2	Rab3 GTPase-activating protein non-catalytic subunit
RABEPK	Rab9 effector protein with kelch motifs
RABGAP1L	Rab GTPase-activating protein 1-like, isoform 10
RABEP2	Rab GTPase-binding effector protein 2
RILP	Rab-interacting lysosomal protein
AKT1	RAC-alpha serine/threonine-protein kinase
RACGAP1	Rac GTPase-activating protein 1
RINT1	RAD50-interacting protein 1
IER3	Radiation-inducible immediate-early gene IEX-1
RDX	Radixin
RFTN1	Raftlin
REPS1	RalBP1-associated Eps domain-containing protein 1
RALGAPB	Ral GTPase-activating protein subunit beta
RALGDS	Ral guanine nucleotide dissociation stimulator
RANBP6	Ran-binding protein 6
RAP1GAP	Rap1 GTPase-activating protein 1
RAP2C	RAP2C, member of RAS oncogene family, isoform CRA b
RAPGEF1	Rap guanine nucleotide exchange factor 1
RAPGEF3	Rap guanine nucleotide exchange factor 3
RAPGEFL1	Rap guanine nucleotide exchange factor-like 1
RASSF3	Ras association domain-containing protein 3
SYNGAP1	Ras/Rap GTPase-activating protein SynGAP
RAB10	Ras-related protein Rab-10
RAB11A	Ras-related protein Rab-11A
RAB15	Ras-related protein Rab-15
RAB1A	Ras-related protein Rab-1A
RAB21	Ras-related protein Rab-21
RAB38	Ras-related protein Rab-38
RAB40B	Ras-related protein Rab-40B
RAB7A	Ras-related protein Rab-7a
RAB8A	Ras-related protein Rab-8A
RALB	Ras-related protein Ral-B
RAP1B	Ras-related protein Rap-1b
RREB1	Ras-responsive element-binding protein 1
RALGPS1	Ras-specific guanine nucleotide-releasing factor RalGPS1
RSU1	Ras suppressor protein 1
REEP3	Receptor expression-enhancing protein 3
RIPK1	Receptor-interacting serine/threonine-protein kinase 1
PTPRN2	Receptor-type tyrosine-protein phosphatase N2
RIMS3	Regulating synaptic membrane exocytosis protein 3
RGS1	Regulator of G-protein signaling 1
RGS16	Regulator of G-protein signaling 16
RGS18	Regulator of G-protein signaling 18
RGS19	Regulator of G-protein signaling 19
RGS3	Regulator of G-protein signaling 3
RGS9	Regulator of G-protein-signaling 9
UPF1	Regulator of nonsense transcripts 1
RPTOR	Regulatory-associated protein of mTOR
RCOR1	REST corepressor 1
RXRA	Retinoic acid receptor RXR-alpha
RBP5	Retinol-binding protein 5
RDH8	Retinol dehydrogenase 8
ROCK2	Rho-associated protein kinase 2
ARHGAP11B	Rho GTPase-activating protein 11B
ARHGAP15	Rho GTPase-activating protein 15
ARHGAP30	Rho GTPase-activating protein 30
ARHGAP31	Rho GTPase-activating protein 31
ARHGEF12	Rho guanine nucleotide exchange factor 12
ARHGEF19	Rho guanine nucleotide exchange factor 19
ARHGEF2	Rho guanine nucleotide exchange factor 2
RHBDF2	Rhomboid-like protein
RHPN2	Rhophilin-2
RHOF	Rho-related GTP-binding protein RhoF
RHOQ	Rho-related GTP-binding protein RhoQ
RHOV	Rho-related GTP-binding protein RhoV
RPP40	Ribonuclease P protein subunit p40
ZC3H12A	Ribonuclease ZC3H12A
RRM1	Ribonucleoside-diphosphate reductase large subunit
RPS6KA1	Ribosomal protein S6 kinase alpha-1
RRP8	Ribosomal RNA-processing protein 8
EMG1	Ribosomal RNA small subunit methyltransferase NEP1
RRBP1	Ribosome-binding protein 1
BMS1	Ribosome biogenesis protein BMS1 homolog
BRIX1	Ribosome biogenesis protein BRX1 homolog
RYBP	RING1 and YY1-binding protein
RNF10	RING finger protein 10
RNF121	RING finger protein 121
RNF166	RING finger protein 166
RNF207	RING finger protein 207
RNF32	RING finger protein 32
RNF44	RING finger protein 44
TARBP2	RISC-loading complex subunit TARBP2
RBMX	RNA-binding motif protein, X chromosome
RBM12	RNA-binding protein 12
RBM38	RNA-binding protein 38
FUS	RNA-binding protein FUS
MEX3D	RNA-binding protein MEX3D
ALKBH5	RNA demethylase ALKBH5
RTF1	RNA polymerase-associated protein RTF1 homolog
ELL2	RNA polymerase II elongation factor ELL2
RPUSD1	RNA pseudouridylate synthase domain-containing protein 1
RC3H1	Roquin-1
RSBN1L	Round spermatid basic protein 1-like protein
DIMT1	rRNA adenine N(6)-methyltransferase
RUNX1	Runt-related transcription factor 1
RUNX2	Runt-related transcription factor 2
SACS	Sacsin
MAT2A	S-adenosylmethionine synthase isoform type-2
SLTM	SAFB-like transcription modulator
SLMAP	Sarcolemmal membrane-associated protein
ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
ATP2A3	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3
SCARF1	Scavenger receptor class F member 1
SLFN13	Schlafen family member 13
SLFNL1	Schlafen-like protein 1
SEC14L1	SEC14-like protein 1
SCRN2	Secernin-2
SCAMP1	Secretory carrier-associated membrane protein 1
DVL1	Segment polarity protein dishevelled homolog DVL-1
SELT	Selenoprotein T
SEPW1	Selenoprotein W
SEPT11	Septin-11
SEPT2	Septin-2
SRRM2	Serine/arginine repetitive matrix protein 2
SRSF2	Serine/arginine-rich-splicing factor 2
SRSF4	Serine/arginine-rich-splicing factor 4
SERINC5	Serine incorporator 5
SPTSSA	Serine palmitoyltransferase small subunit A
CCSER2	Serine-rich coiled-coil domain-containing protein 2
STK10	Serine/threonine-protein kinase 10
STK11IP	Serine/threonine-protein kinase 11-interacting protein
STK24	Serine/threonine-protein kinase 24
STK3	Serine/threonine-protein kinase 3
MASTL	Serine/threonine-protein kinase greatwall
NEK8	Serine/threonine-protein kinase Nek8
OXSR1	Serine/threonine-protein kinase OSR1
PIM1	Serine/threonine-protein kinase pim-1
PIM2	Serine/threonine-protein kinase pim-2
PIM3	Serine/threonine-protein kinase pim-3
PLK3	Serine/threonine-protein kinase PLK3
PRPF4B	Serine/threonine-protein kinase PRP4 homolog
RIOK3	Serine/threonine-protein kinase RIO3
SBK1	Serine/threonine-protein kinase SBK1
SIK1	Serine/threonine-protein kinase SIK1
SIK2	Serine/threonine-protein kinase SIK2
SMG1	Serine/threonine-protein kinase SMG1
VRK2	Serine/threonine-protein kinase VRK2
WNK2	Serine/threonine-protein kinase WNK2
WNK4	Serine/threonine-protein kinase WNK4
PPP2CA	Serine/threonine-protein phosphatase
PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
PPP3CC	Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform
CPPED1	Serine/threonine-protein phosphatase CPPED1
SDCCAG3	Serologically defined colon cancer antigen 3
SERPINB8	Serpin B8
SERPINB9	Serpin B9
SERPINE3	Serpin E3
HMSD	Serpin-like protein HMSD
SRRT	Serrate RNA effector molecule homolog
SERTAD2	SERTA domain-containing protein 2
FAM109B	Sesquipedalian-2
SH2D2A	SH2 domain-containing protein 2A
SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3
SH3BP2	SH3 domain-binding protein 2
SHKBP1	SH3KBP1-binding protein 1
SGOL2	Shugoshin-like 2
NEU3	Sialidase-3
NEU4	Sialidase-4
SLC17A5	Sialin
SFXN3	Sideroflexin
SIPA1L1	Signal-induced proliferation-associated 1-like protein 1
SPPL2A	Signal peptide peptidase-like 2A
SPPL3	Signal peptide peptidase-like 3
SRP72	Signal recognition particle subunit SRP72
STAT3	Signal transducer and activator of transcription
STAT2	Signal transducer and activator of transcription 2
STAT5B	Signal transducer and activator of transcription 5B
SMCO4	Single-pass membrane and coiled-coil domain-containing protein 4
SSBP3	Single-stranded DNA-binding protein 3
SSBP4	Single-stranded DNA-binding protein 4
PDS5A	Sister chromatid cohesion protein PDS5 homolog A
SKIL	Ski-like protein
SKI	Ski oncogene
SRGAP2	SLIT-ROBO Rho GTPase-activating protein 2
SRGAP2B	SLIT-ROBO Rho GTPase-activating protein 2B
SERF1B	Small EDRK-rich factor 1
SMIM13	Small integral membrane protein 13
KNSTRN	Small kinetochore-associated protein
C2orf88	Small membrane A-kinase anchor protein
SNRPA1	Small nuclear ribonucleoprotein polypeptide A', isoform CRA a
HENMT1	Small RNA 2'-O-methyltransferase
SMTN	Smoothelin
DAGLA	Sn1-specific diacylglycerol lipase alpha
SNAPIN	SNARE-associated protein Snapin
SNAPC2	snRNA-activating protein complex subunit 2
SLC4A11	Sodium bicarbonate transporter-like protein 11
SLC38A5	Sodium-coupled neutral amino acid transporter 5
MFSD2A	Sodium-dependent lysophosphatidylcholine symporter 1
SLC20A1	Sodium-dependent phosphate transporter 1
SLC9A3	Sodium/hydrogen exchanger 3
ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1
ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3
SLC12A7	Solute carrier family 12 member 7
SLC12A2	Solute carrier family 12 (Sodium/potassium/chloride transporters), member 2, isoform CRA a
SLC22A1	Solute carrier family 22 member 1
SLC22A4	Solute carrier family 22 member 4
SLC25A33	Solute carrier family 25 member 33
SLC25A43	Solute carrier family 25 member 43
SLC27A2	Solute carrier family 27 (Fatty acid transporter), member 2, isoform CRA b
SLC2A14	Solute carrier family 2, facilitated glucose transporter member 14
SLC2A3	Solute carrier family 2, facilitated glucose transporter member 3
SLC2A8	Solute carrier family 2, (Facilitated glucose transporter) member 8, isoform CRA c
SLC35B1	Solute carrier family 35 member B1
SLC35F2	Solute carrier family 35 member F2
SLC35F5	Solute carrier family 35 member F5
SLC41A1	Solute carrier family 41 member 1
SLC41A2	Solute carrier family 41 member 2
SLC43A3	Solute carrier family 43 member 3
SLC45A4	Solute carrier family 45 member 4
SLC52A2	Solute carrier family 52, riboflavin transporter, member 2
SLCO3A1	Solute carrier organic anion transporter family member 3A1
SLCO4A1	Solute carrier organic anion transporter family member 4A1
SOS1	Son of sevenless homolog 1
SORD	Sorbitol dehydrogenase
SRI	Sorcin
SNX11	Sorting nexin-11
SNX17	Sorting nexin-17
SNX18	Sorting nexin-18
SNX25	Sorting nexin-25
SNX27	Sorting nexin-27
SNX5	Sorting nexin-5
SNX6	Sorting nexin 6, isoform CRA b
SPTAN1	Spectrin alpha chain, non-erythrocytic 1
SPDYE2	Speedy protein E2
SPDYE2B	Speedy protein E2B
SPAG7	Sperm-associated antigen 7
SPATA32	Spermatogenesis-associated protein 32
SPATA5L1	Spermatogenesis-associated protein 5-like protein 1
SMOX	Spermine oxidase
SMS	Spermine synthase
SGPL1	Sphingosine-1-phosphate lyase 1
SGPP1	Sphingosine-1-phosphate phosphatase 1
SPHK1	Sphingosine kinase 1
SCAF4	Splicing factor, arginine/serine-rich 15
SPRYD4	SPRY domain-containing protein 4
SPSB1	SPRY domain-containing SOCS box protein 1
SKAP1	Src kinase-associated phosphoprotein 1
SRPK1	SRSF protein kinase 1
SND1	Staphylococcal nuclease domain-containing protein 1
STARD4	StAR-related lipid transfer protein 4
STK39	STE20/SPS1-related proline-alanine-rich protein kinase
SAMD9L	Sterile alpha motif domain-containing protein 9-like
STS	Steryl-sulfatase
STON1	Stonin-1
STIP1	Stress-induced-phosphoprotein 1
STRN3	Striatin-3
STRIP2	Striatin-interacting protein 2
STIM1	Stromal interaction molecule 1
SMAP1	Stromal membrane-associated protein 1
SMC5	Structural maintenance of chromosomes protein 5
SMC6	Structural maintenance of chromosomes protein 6
SDHAF1	Succinate dehydrogenase assembly factor 1, mitochondrial
SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
OXCT1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial
SUCLA2	Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial
SLC50A1	Sugar transporter SWEET1
SQRDL	Sulfide:quinone oxidoreductase, mitochondrial
SENP5	SUMO1/sentrin specific peptidase 5, isoform CRA a
UBE2I	SUMO-conjugating enzyme
SOD2	Superoxide dismutase
SVIL	Supervillin
ST7	Suppression of tumorigenicity 7, isoform CRA d
SAPCD2	Suppressor APC domain-containing protein 2
SOCS6	Suppressor of cytokine signaling 6
ST20	Suppressor of tumorigenicity 20 protein
SURF4	Surfeit 4, isoform CRA b
SUGP2	SURP and G-patch domain-containing protein 2
SUSD1	Sushi domain-containing protein 1
SNED1	Sushi, nidogen and EGF-like domain-containing protein 1
SMARCC1	SWI/SNF complex subunit SMARCC1
SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1
SYNGR2	Synaptogyrin 2, isoform CRA a
SYNGR3	Synaptogyrin-3
SYNJ2	Synaptojanin-2
SYP	Synaptophysin
SYT15	Synaptotagmin-15
SYTL1	Synaptotagmin-like protein 1
SYTL3	Synaptotagmin-like protein 3
SDC4	Syndecan-4
STX10	Syntaxin-10
STX11	Syntaxin-11
STX1A	Syntaxin-1A
STX6	Syntaxin-6
TBKBP1	TANK-binding kinase 1-binding protein 1
TARDBP	TAR DNA-binding protein 43
TAF1B	TATA box-binding protein-associated factor RNA polymerase I subunit B
TBC1D10A	TBC1 domain family member 10A
TBC1D17	TBC1 domain family member 17
TBC1D24	TBC1 domain family member 24
TBC1D31	TBC1 domain family member 31
TBC1D3F	TBC1 domain family member 3F
TBC1D3G	TBC1 domain family member 3G
TBC1D5	TBC1 domain family member 5
TBC1D8B	TBC1 domain family member 8B
TIPARP	TCDD-inducible poly [ADP-ribose] polymerase
CD96	T-cell surface protein tactile
CCT4	T-complex protein 1 subunit delta
CCT3	T-complex protein 1 subunit gamma
CCT6B	T-complex protein 1 subunit zeta-2
TCTEX1D4	Tctex1 domain-containing protein 4
TNC	Tenascin
TEX30	Testis-expressed sequence 30 protein
CD151	Tetraspanin
TSPAN14	Tetraspanin
TSPAN13	Tetraspanin-13
TTC19	Tetratricopeptide repeat protein 19, mitochondrial
TTC7B	Tetratricopeptide repeat protein 7B
TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
TAB3	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
THAP4	THAP domain-containing protein 4
THTPA	Thiamine-triphosphatase
THOP1	Thimet oligopeptidase
TPMT	Thiopurine S-methyltransferase
PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial
TXNL1	Thioredoxin-like protein 1
TSTD1	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1
TREX1	Three-prime repair exonuclease 1
CDKAL1	Threonylcarbamoyladenosine tRNA methylthiotransferase
TRIP6	Thyroid receptor-interacting protein 6
TIGD5	Tigger transposable element-derived protein 5
TJP2	Tight junction protein ZO-2
TICAM1	TIR domain-containing adapter molecule 1
F3	Tissue factor
TFPI	Tissue factor pathway inhibitor
CD80	T-lymphocyte activation antigen CD80
TNIP1	TNFAIP3-interacting protein 1
TNIP2	TNFAIP3-interacting protein 2
TNIP3	TNFAIP3-interacting protein 3
TRAF1	TNF receptor-associated factor 1
TRAF4	TNF receptor-associated factor 4
TRAF5	TNF receptor-associated factor 5
TRAF6	TNF receptor-associated factor 6
TOR1B	Torsin-1B
TP53RK	TP53-regulating kinase
TNIK	TRAF2 and NCK-interacting protein kinase
TANK	TRAF family member-associated NF-kappa-B activator
TRAPPC10	Trafficking protein particle complex subunit 10
TRAPPC6B	Trafficking protein particle complex subunit 6B
GATA3	Trans-acting T-cell-specific transcription factor GATA-3
PURB	Transcriptional activator protein Pur-beta
TADA2A	Transcriptional adapter 2-alpha
GATAD2A	Transcriptional repressor p66-alpha
TCEB3	Transcription elongation factor B polypeptide 3
SUPT5H	Transcription elongation factor SPT5
TCF25	Transcription factor 25
TCF7	Transcription factor 7
JUN	Transcription factor AP-1
BTF3L4	Transcription factor BTF3 homolog 4
TCF3	Transcription factor E2-alpha
E2F7	Transcription factor E2F7
ETV6	Transcription factor ETV6
HIVEP3	Transcription factor HIVEP3
JUND	Transcription factor jun-D
MAF	Transcription factor Maf
MAFF	Transcription factor MafF
RELA	Transcription factor p65
SOX4	Transcription factor SOX-4
BDP1	Transcription factor TFIIIB component B'' homolog
TAF8	Transcription initiation factor TFIID subunit 8
SUPT3H	Transcription initiation protein SPT3 homolog
TTF2	Transcription termination factor 2
TFRC	Transferrin receptor protein 1
TRRAP	Transformation/transcription domain-associated protein
TACC1	Transforming acidic coiled-coil-containing protein 1
TGFBR3	Transforming growth factor beta receptor type 3
TAGLN2	Transgelin-2
TKT	Transketolase
TKTL1	Transketolase-like protein 1
TMA16	Translation machinery-associated protein 16
TRAM2	Translocating chain-associated membrane protein 2
SSR4	Translocon-associated protein subunit delta
TM9SF1	Transmembrane 9 superfamily member 1
TMCO4	Transmembrane and coiled-coil domain-containing protein 4
